spkid,GM,diameter,extent,class
2000408,,35.62,,MBA
2000409,,171.012,,MBA
2000410,,118.929,,MBA
2000411,,76.53,,MBA
2000412,,96.056,,MBA
2000413,,34.242,,MBA
2000414,,88.76,,OMB
2000415,,83.56,,MBA
2000416,,85.47,,MBA
2000417,,54.874,,MBA
2000418,,40.33,,MBA
2000419,,148.701,,MBA
2000420,,138.699,,OMB
2000421,,14.119,,MBA
2000422,,10.714,,MBA
2000423,,175.859,,MBA
2000424,,102.565,,MBA
2000425,,67.925,,MBA
2000426,,137.562,,MBA
2000427,,32.193,,MBA
2000428,,20.184,,MBA
2000429,,69.62,,MBA
2000430,,31.702,,MBA
2000431,,101.9,,MBA
2000432,,46.9,,MBA
2000433,4.46E-04,16.84,34.4x11.2x11.2,AMO
2000434,,8.934,,IMB
2000435,,34.792,,MBA
2000436,,58.609,,OMB
2000437,,13.373,,MBA
2000438,,58.871,,MBA
2000439,,70.421,,MBA
2000440,,13.6,,MBA
2000441,,65.131,,MBA
2000442,,62.171,,MBA
2000443,,25.504,,MBA
2000444,,159.331,,MBA
2000445,,87.812,,MBA
2000446,,53.562,,MBA
2000447,,85.224,,MBA
2000448,,50.534,,MBA
2000449,,85.59,,MBA
2000450,,37.038,,MBA
2000451,,253.9,,MBA
2000452,,11.563,,MBA
2000453,,23.985,,MBA
2000454,,81.743,,MBA
2000455,,88.792,,MBA
2000456,,37.713,,MBA
2000457,,18.739,,MBA
2000458,,36.698,,MBA
2000459,,25.784,,MBA
2000460,,19.689,,MBA
2000461,,43.603,,MBA
2000462,,34.274,,MBA
2000463,,20.908,,MBA
2000464,,77.056,,MBA
2000465,,73.34,,MBA
2000466,,95.495,,OMB
2000467,,39.471,,MBA
2000468,,60.238,,MBA
2000469,,133.718,,MBA
2000470,,27.75,,MBA
2000471,,148.128,,MBA
2000472,,50.278,,MBA
2000473,,12.394,,MBA
2000474,,40.972,,MBA
2000475,,17.83,,MCA
2000476,,138.493,,MBA
2000477,,22.988,,MBA
2000478,,80.738,,MBA
2000479,,60.088,,MBA
2000480,,56.22,,MBA
2000481,,101.829,,MBA
2000482,,45.751,,MBA
2000483,,66.858,,OMB
2000484,,30.06,,MBA
2000485,,63.88,,MBA
2000486,,22.781,,MBA
2000487,,59.046,,MBA
2000488,,168.117,,MBA
2000489,,139.39,,MBA
2000490,,118.803,,MBA
2000491,,91.176,,MBA
2000492,,53.418,,MBA
2000493,,41.55,,MBA
2000494,,100.786,,MBA
2000495,,37.287,,MBA
2000496,,14.403,,MBA
2000497,,40.932,,MBA
2000498,,81.83,,MBA
2000499,,77.328,,OMB
2000500,,40.828,,MBA
2000501,,74.457,,MBA
2000502,,15.805,,MBA
2000503,,81.68,,MBA
2000504,,30.438,,MBA
2000505,,115,,MBA
2000506,,105.94,,MBA
2000507,,45.17,,MBA
2000508,,117.241,,MBA
2000509,,51.892,,MBA
2000510,,60.45,,MBA
2000511,,270.327,,MBA
2000512,,23.09,,MCA
2000513,,48.805,,MBA
2000514,,120.093,,MBA
2000515,,41.19,,MBA
2000516,,65.144,,MBA
2000517,,111.89,,MBA
2000518,,16.157,,MBA
2000519,,40.078,,MBA
2000520,,25.261,,MBA
2000521,,107.227,,MBA
2000522,,101.22,,OMB
2000523,,31.89,,MBA
2000524,,65.527,,MBA
2000525,,9.326,,MBA
2000526,,44.84,,MBA
2000527,,52.627,,MBA
2000528,,91.966,,OMB
2000529,,32.01,,MBA
2000530,,84.85,,MBA
2000531,,17.804,,MBA
2000532,,167.791,,MBA
2000533,,30.819,,MBA
2000534,,32.333,,MBA
2000535,,79.299,,MBA
2000536,,147.066,,OMB
2000537,,40.732,,MBA
2000538,,70.64,,MBA
2000539,,68.356,,MBA
2000540,,19.152,,MBA
2000541,,60.147,,MBA
2000542,,42.117,,MBA
2000543,,45.613,,MBA
2000544,,27.169,,MBA
2000545,,112.631,,OMB
2000546,,65.945,,MBA
2000547,,52.462,,MBA
2000548,,14.008,,MBA
2000549,,15.53,,MBA
2000550,,37.434,,MBA
2000551,,81.113,,MBA
2000552,,88.697,,MBA
2000553,,9.01,,MBA
2000554,,95.87,,MBA
2000555,,31.04,,MBA
2000556,,36.279,,MBA
2000557,,22.621,,MBA
2000558,,54.811,,MBA
2000559,,79.82,,MBA
2000560,,35.334,,MBA
2000561,,31.562,,MBA
2000562,,32.651,,MBA
2000563,,53.29,,MBA
2000564,,52.01,,MBA
2000565,,27.332,,MBA
2000566,,167.381,,OMB
2000567,,93.41,,MBA
2000568,,71.224,,MBA
2000569,,72.95,,MBA
2000570,,87.486,,OMB
2000571,,11.696,,MBA
2000572,,28.903,,MBA
2000573,,47.582,,MBA
2000574,,8.456,,MBA
2000575,,19.106,,MBA
2000576,,74.378,,MBA
2000577,,38.234,,MBA
2000578,,69.29,,MBA
2000579,,85.57,,MBA
2000580,,48.204,,OMB
2000581,,61.481,,OMB
2000582,,44.347,,MBA
2000583,,78.236,,MBA
2000584,,54.01,,MBA
2000585,,49.761,,MBA
2000586,,95.203,,MBA
2000587,,11.022,,MBA
2000589,,93.617,,MBA
2000590,,30.577,,MBA
2000591,,51.86,,MBA
2000592,,43.787,,MBA
2000593,,70.145,,MBA
2000594,,9.23,,MBA
2000595,,90.647,,OMB
2000596,,159.726,,MBA
2000597,,36.06,,MBA
2000598,,78.237,,MBA
2000599,,70.249,,MBA
2000600,,25.115,,MBA
2000601,,75.535,,MBA
2000602,,110.444,,MBA
2000603,,13.73,,MBA
2000604,,64.536,,MBA
2000605,,69.86,,MBA
2000606,,35.758,,MBA
2000607,,67.52,,MBA
2000608,,20.365,,MBA
2000609,,54.17,,MBA
2000610,,19.153,,MBA
2000611,,57.468,,MBA
2000612,,38.767,,MBA
2000613,,81.344,,MBA
2000614,,29.191,,MBA
2000615,,48.626,,MBA
2000616,,21.17,,MBA
2000618,,131.292,,MBA
2000619,,29.051,,MBA
2000620,,11.385,,MBA
2000621,,29.726,,MBA
2000622,,21.874,,MBA
2000623,,44.09,,MBA
2000625,,28.287,,MBA
2000626,,73.236,,MBA
2000627,,38.018,,MBA
2000628,,48.239,,MBA
2000629,,35.087,,MBA
2000630,,15.542,,MBA
2000631,,50.491,,MBA
2000632,,14.419,,MBA
2000633,,33.387,,MBA
2000634,,74.017,,MBA
2000635,,94.415,,MBA
2000636,,73.147,,MBA
2000637,,24.194,,MBA
2000638,,59.594,,MBA
2000639,,78.509,,MBA
2000640,,62.667,,MBA
2000641,,9.446,,MBA
2000642,,33.36,,MBA
2000643,,64.997,,OMB
2000644,,17.016,,MBA
2000645,,28.916,,OMB
2000646,,8.153,,MBA
2000647,,9.725,,MBA
2000648,,68.27,,MBA
2000649,,7.726,,MBA
2000650,,18.609,,MBA
2000651,,31.895,,MBA
2000652,,15.595,,MBA
2000653,,49.793,,MBA
2000654,,160.736,,MBA
2000655,,29.057,,MBA
2000656,,62.604,,MBA
2000657,,39.401,,MBA
2000658,,21.894,,MBA
2000660,,42.302,,MBA
2000661,,40.081,,MBA
2000662,,22.127,,MBA
2000663,,107.795,,MBA
2000664,,85.214,,MBA
2000665,,51.09,,MBA
2000666,,32.741,,MBA
2000667,,88.63,,MBA
2000668,,21.517,,MBA
2000669,,29.227,,MBA
2000670,,35.886,,MBA
2000671,,60.604,,MBA
2000672,,35.584,,MBA
2000673,,37.622,,MBA
2000674,,96.171,,MBA
2000675,,76,,MBA
2000676,,78.369,,MBA
2000677,,32.403,,MBA
2000678,,39.585,,MBA
2000679,,63.909,,MBA
2000680,,83.92,,MBA
2000681,,20.39,,MBA
2000683,,83.04,,MBA
2000684,,19.04,,MBA
2000685,,10.95,,MBA
2000686,,55.258,,MBA
2000687,,21.533,,MBA
2000688,,41.614,,MBA
2000689,,15.621,,MBA
2000690,,134.65,,MBA
2000691,,79.451,,MBA
2000692,,42.771,,OMB
2000693,,82.114,,MBA
2000694,,121.891,,MBA
2000695,,40.62,,MBA
2000696,,81.58,,MBA
2000697,,80.14,,MBA
2000698,,27.037,,MBA
2000700,,16.421,,MBA
2000701,,42.943,,MBA
2000702,,190.98,,MBA
2000703,,7.25,,MBA
2000704,5,306.313,,MBA
2000705,,132.261,,MBA
2000706,,30.819,,MBA
2000707,,9.003,,MBA
2000708,,21.43,,MBA
2000709,,95.173,,MBA
2000710,,29.208,,MBA
2000711,,9.026,,MBA
2000712,,124.125,,MBA
2000713,,97.968,,OMB
2000714,,41.343,,MBA
2000715,,25.458,,MBA
2000716,,19.768,,MBA
2000717,,27.656,,MBA
2000718,,70.911,,MBA
2000720,,33.73,,MBA
2000721,,86.309,,OMB
2000722,,8.257,,MBA
2000723,,23.456,,MBA
2000724,,9.492,,MBA
2000725,,23.687,,MBA
2000726,,44.02,,MBA
2000727,,32.17,,MBA
2000728,,5.887,,MBA
2000729,,50.025,,MBA
2000730,,4.497,,MBA
2000731,,34.597,,MBA
2000732,,29.791,,MBA
2000733,,98.493,,OMB
2000734,,67.318,,MBA
2000735,,67.976,,MBA
2000736,,17.111,,MBA
2000737,,47.804,,MBA
2000738,,62.79,,MBA
2000739,,104.517,,MBA
2000740,,90.9,,MBA
2000741,,29.64,,MBA
2000742,,47.087,,MBA
2000743,,51.072,,MBA
2000744,,58.636,,MBA
2000745,,24.711,,OMB
2000746,,74.274,,MBA
2000747,,171.71,,MBA
2000748,,103.714,,OMB
2000749,,11.065,,MBA
2000750,,22.526,,MBA
2000751,,113.699,,MBA
2000752,,60.171,,MBA
2000753,,20.922,,MBA
2000754,,94.522,,MBA
2000755,,41.21,,MBA
2000756,,64.837,,MBA
2000757,,32.894,,MBA
2000758,,88.985,,MBA
2000759,,52.926,,MBA
2000760,,71.29,,MBA
2000761,,20.763,,MBA
2000762,,147.343,,MBA
2000763,,7.005,,MBA
2000764,,58.28,,MBA
2000765,,7.991,,MBA
2000766,,41.044,,MBA
2000767,,43.039,,MBA
2000768,,32.597,,MBA
2000769,,96.72,,MBA
2000770,,16.388,,MBA
2000771,,29.322,,MBA
2000772,,126.473,,MBA
2000773,,91.672,,MBA
2000774,,50.214,,MBA
2000775,,31.958,,MBA
2000776,,151.711,,MBA
2000777,,71.749,,OMB
2000778,,55.317,,MBA
2000779,,80.572,,MBA
2000780,,126.263,,MBA
2000781,,72.927,,OMB
2000782,,14.158,,MBA
2000783,,38.719,,MBA
2000784,,75.596,,MBA
2000785,,49.46,,MBA
2000786,,108.309,,MBA
2000787,,27.927,,MBA
2000788,,111.295,,MBA
2000789,,22.483,,MBA
2000790,,170.37,,OMB
2000791,,116.865,,MBA
2000792,,61.804,,MBA
2000793,,26.636,,MBA
2000794,,35.703,,MBA
2000795,,85.263,,MBA
2000796,,43.58,,MBA
2000797,,21.197,,MBA
2000798,,43.19,,MBA
2000799,,47.185,,MBA
2000800,,15.429,,MBA
2000801,,32.404,,MBA
2000802,,7.423,,MBA
2000803,,46.5,,OMB
2000804,,137.952,,MBA
2000805,,73.095,,MBA
2000806,,83.103,,OMB
2000807,,21.241,,MBA
2000808,,30.923,,MBA
2000809,,9.45,,MBA
2000810,,8.104,,MBA
2000811,,16.105,,MBA
2000812,,12.356,,MBA
2000813,,11.719,,MBA
2000814,,102.229,,MBA
2000815,,16.869,,MBA
2000816,,50.745,,MBA
2000817,,22.891,,MBA
2000818,,64.255,,MBA
2000819,,8.917,,MBA
2000820,,58.65,,MBA
2000821,,28.856,,MBA
2000822,,8.243,,MBA
2000823,,14.719,,MBA
2000824,,32.457,,MBA
2000825,,13.423,,MBA
2000826,,22.556,,MBA
2000827,,8.488,,MBA
2000828,,47.891,,MBA
2000829,,42.685,,MBA
2000830,,41.328,,OMB
2000831,,7.218,,MBA
2000832,,15.812,,MBA
2000833,,21.99,,MBA
2000834,,61.278,,MBA
2000835,,30.418,,OMB
2000836,,5.757,,MBA
2000837,,5.968,,MBA
2000838,,58.095,,MBA
2000839,,20.39,,MBA
2000840,,27.306,,MBA
2000841,,7.501,,MBA
2000842,,43.576,,OMB
2000844,,42.154,,OMB
2000845,,52.677,,MBA
2000846,,52.41,,MBA
2000847,,24.931,,MBA
2000848,,33.027,,MBA
2000849,,80.756,,MBA
2000850,,80.9,,MBA
2000851,,12.642,,MBA
2000852,,26.541,,MBA
2000853,,27.593,,MBA
2000854,,7.839,,MBA
2000855,,12.392,,MBA
2000856,,45.449,,MBA
2000857,,14.497,,MBA
2000858,,22.519,,MBA
2000859,,65.417,,OMB
2000860,,34.561,,MBA
2000861,,66.85,,MBA
2000862,,27.033,,MBA
2000863,,38.724,,OMB
2000864,,7.249,,MBA
2000865,,17.77,,MBA
2000866,,78.061,,MBA
2000867,,24.113,,MBA
2000868,,50.692,,MBA
2000869,,21.193,,MBA
2000870,,13.683,,MBA
2000871,,8.011,,MBA
2000872,,34.431,,MBA
2000873,,34.471,,MBA
2000874,,58.287,,MBA
2000875,,14.107,,MBA
2000876,,22.42,,MBA
2000877,,38.41,,MBA
2000878,,2.529,,MBA
2000879,,18.312,,MBA
2000880,,32.329,,MBA
2000881,,12.153,,MBA
2000882,,42.44,,MBA
2000883,,7.036,,MBA
2000885,,30.537,,MBA
2000886,,86.793,,MBA
2000887,,4.2,,AMO
2000888,,44.749,,MBA
2000889,,16.682,,MBA
2000890,,28.376,,MBA
2000891,,55.747,,MBA
2000892,,74.481,,OMB
2000893,,85.992,,MBA
2000894,,28.309,,MBA
2000895,,109.568,,OMB
2000896,,11.974,,MBA
2000897,,24.337,,MBA
2000898,,11.693,,MBA
2000899,,31.018,,MBA
2000900,,19.618,,MBA
2000901,,13.21,,MBA
2000902,,8.552,,MBA
2000903,,58.065,,OMB
2000904,,49.146,,MBA
2000905,,12.07,,MBA
2000906,,65.752,,MBA
2000907,,82.66,,MBA
2000908,,30.749,,MBA
2000909,,116.44,,OMB
2000910,,48.59,,MBA
2000912,,82.675,,MBA
2000913,,11.636,,MBA
2000914,,76.19,,MBA
2000915,,11.699,,MBA
2000916,,33.23,,MBA
2000917,,34.878,,MBA
2000918,,21.561,,MBA
2000919,,33.5,,MBA
2000920,,26.656,,MBA
2000921,,55.312,,MBA
2000922,,19.228,,MBA
2000923,,34.553,,MBA
2000924,,85.49,,MBA
2000925,,57.505,,MBA
2000926,,48.48,,MBA
2000927,,75.892,,OMB
2000928,,62.817,,MBA
2000929,,11.443,,MBA
2000930,,34.922,,MBA
